level,teil,task,question,correct

A1,1,1,Der Zug kommt um 10.20 Uhr in Berlin an.,Richtig
A1,1,2,Sophie wartet zu Hause auf Anna.,Falsch
A1,1,3,Lena hat schon eine neue Wohnung.,Falsch
A1,1,4,Die Party beginnt um 22 Uhr.,Falsch
A1,1,5,Die Gäste sitzen draußen auf dem Balkon.,Richtig

A1,2,6,Alex möchte eine neue Wohnung finden.,10
A1,2,7,Anna möchte ein Museum besuchen.,11
A1,2,8,Frau Becker möchte einen Arzt besuchen.,7
A1,2,9,Maria möchte in Deutschland studieren.,9
A1,2,10,Lukas möchte Lebensmittel online kaufen.,6
A1,2,11,Thomas sucht einen Job.,8

A1,3,12,Die Fitnessstudio ist kostenlos für neue Mitglieder.,Falsch
A1,3,13,Die Besucher können die Lebensmittel auch kaufen.,Richtig
A1,3,14,Der Lesezirkel ist am Wochenende auch geöffnet.,Falsch
A1,3,15,Deutsche Unterrichten werden im Zimmer B-304.,Falsch